Year,Event,Driver,Team,LapNumber,Stint,TyreLife,Compound,LapTime,Position,TrackTemp,AirTemp,FuelEstimate,RowID,NormalizedLap
2024,Abu Dhabi Grand Prix,PIA,McLaren,6,2,2,HARD,88.95,18,31.8,26.8,101,1,1.26000000000001
2024,Abu Dhabi Grand Prix,PIA,McLaren,7,2,3,HARD,89.152,17,31.8,26.8,99.2,2,1.462
2024,Abu Dhabi Grand Prix,PIA,McLaren,8,2,4,HARD,89.482,17,31.8,26.8,97.4,3,1.792
2024,Abu Dhabi Grand Prix,PIA,McLaren,9,2,5,HARD,89.553,17,31.8,26.8,95.6,4,1.863
2024,Abu Dhabi Grand Prix,PIA,McLaren,10,2,6,HARD,89.669,17,31.8,26.8,93.8,5,1.979
2024,Abu Dhabi Grand Prix,PIA,McLaren,11,2,7,HARD,89.317,17,31.8,26.8,92,6,1.627
2024,Abu Dhabi Grand Prix,PIA,McLaren,12,2,8,HARD,89.841,17,31.8,26.8,90.2,7,2.151
2024,Abu Dhabi Grand Prix,PIA,McLaren,13,2,9,HARD,89.567,14,31.8,26.8,88.4,8,1.877
2024,Abu Dhabi Grand Prix,PIA,McLaren,14,2,10,HARD,89.319,13,31.8,26.8,86.6,9,1.629
2024,Abu Dhabi Grand Prix,PIA,McLaren,15,2,11,HARD,89.895,13,31.8,26.8,84.8,10,2.205
2024,Abu Dhabi Grand Prix,PIA,McLaren,16,2,12,HARD,89.904,13,31.8,26.8,83,11,2.214
2024,Abu Dhabi Grand Prix,PIA,McLaren,17,2,13,HARD,89.659,13,31.8,26.8,81.2,12,1.96900000000001
2024,Abu Dhabi Grand Prix,PIA,McLaren,18,2,14,HARD,89.607,13,31.8,26.8,79.4,13,1.917
2024,Abu Dhabi Grand Prix,PIA,McLaren,19,2,15,HARD,90.058,13,31.8,26.8,77.6,14,2.36800000000001
2024,Abu Dhabi Grand Prix,PIA,McLaren,20,2,16,HARD,90.191,13,31.8,26.8,75.8,15,2.501
2024,Abu Dhabi Grand Prix,PIA,McLaren,21,2,17,HARD,90.277,13,31.8,26.8,74,16,2.587
2024,Abu Dhabi Grand Prix,PIA,McLaren,22,2,18,HARD,90.173,12,31.8,26.8,72.2,17,2.483
2024,Abu Dhabi Grand Prix,PIA,McLaren,23,2,19,HARD,89.661,11,31.8,26.8,70.4,18,1.971
2024,Abu Dhabi Grand Prix,PIA,McLaren,24,2,20,HARD,89.79,10,31.8,26.8,68.6,19,2.10000000000001
2024,Abu Dhabi Grand Prix,PIA,McLaren,25,2,21,HARD,89.894,10,31.8,26.8,66.8,20,2.20400000000001
2024,Abu Dhabi Grand Prix,PIA,McLaren,26,2,22,HARD,89.669,10,31.8,26.8,65,21,1.979
2024,Abu Dhabi Grand Prix,PIA,McLaren,27,2,23,HARD,89.631,10,31.8,26.8,63.2,22,1.941
2024,Abu Dhabi Grand Prix,PIA,McLaren,28,2,24,HARD,90.036,10,31.8,26.8,61.4,23,2.346
2024,Abu Dhabi Grand Prix,PIA,McLaren,29,2,25,HARD,89.735,10,31.8,26.8,59.6,24,2.045
2024,Abu Dhabi Grand Prix,PIA,McLaren,35,3,3,HARD,88.193,15,31.8,26.8,48.8,25,0.503
2024,Abu Dhabi Grand Prix,PIA,McLaren,36,3,4,HARD,87.931,15,31.8,26.8,47,26,0.241
2024,Abu Dhabi Grand Prix,PIA,McLaren,37,3,5,HARD,88.469,15,31.8,26.8,45.2,27,0.778999999999996
2024,Abu Dhabi Grand Prix,PIA,McLaren,38,3,6,HARD,88.238,14,31.8,26.8,43.4,28,0.548000000000002
2024,Abu Dhabi Grand Prix,PIA,McLaren,39,3,7,HARD,88.206,13,31.8,26.8,41.6,29,0.516000000000005
2024,Abu Dhabi Grand Prix,PIA,McLaren,40,3,8,HARD,88.325,12,31.8,26.8,39.8,30,0.635000000000005
2024,Abu Dhabi Grand Prix,PIA,McLaren,41,3,9,HARD,88.112,12,31.8,26.8,38,31,0.421999999999997
2024,Abu Dhabi Grand Prix,PIA,McLaren,42,3,10,HARD,88.067,12,31.8,26.8,36.2,32,0.376999999999995
2024,Abu Dhabi Grand Prix,PIA,McLaren,43,3,11,HARD,88.052,12,31.8,26.8,34.4,33,0.362000000000009
2024,Abu Dhabi Grand Prix,PIA,McLaren,44,3,12,HARD,88.497,12,31.8,26.8,32.6,34,0.807000000000002
2024,Abu Dhabi Grand Prix,PIA,McLaren,45,3,13,HARD,90.015,12,31.8,26.8,30.8,35,2.325
2024,Abu Dhabi Grand Prix,PIA,McLaren,46,3,14,HARD,89.677,12,31.8,26.8,29,36,1.98700000000001
2024,Abu Dhabi Grand Prix,PIA,McLaren,47,3,15,HARD,89.671,12,31.8,26.8,27.2,37,1.98100000000001
2024,Abu Dhabi Grand Prix,PIA,McLaren,48,3,16,HARD,88.407,11,31.8,26.8,25.4,38,0.716999999999999
2024,Abu Dhabi Grand Prix,PIA,McLaren,49,3,17,HARD,87.928,11,31.8,26.8,23.6,39,0.238
2024,Abu Dhabi Grand Prix,PIA,McLaren,50,3,18,HARD,87.705,11,31.8,26.8,21.8,40,0.0150000000000006
2024,Abu Dhabi Grand Prix,PIA,McLaren,51,3,19,HARD,87.69,11,31.8,26.8,20,41,0
2024,Abu Dhabi Grand Prix,PIA,McLaren,52,3,20,HARD,88.491,11,31.8,26.8,18.2,42,0.801000000000002
2024,Abu Dhabi Grand Prix,PIA,McLaren,53,3,21,HARD,88.168,10,31.8,26.8,16.4,43,0.478000000000009
2024,Abu Dhabi Grand Prix,PIA,McLaren,54,3,22,HARD,87.731,10,31.8,26.8,14.6,44,0.0409999999999968
2024,Abu Dhabi Grand Prix,PIA,McLaren,55,3,23,HARD,87.781,10,31.8,26.8,12.8,45,0.0910000000000082
2024,Abu Dhabi Grand Prix,PIA,McLaren,56,3,24,HARD,87.816,10,31.8,26.8,11,46,0.126000000000005
2024,Abu Dhabi Grand Prix,PIA,McLaren,58,3,26,HARD,88.01,10,31.8,26.8,7.4,47,0.320000000000007
2024,Australian Grand Prix,PIA,McLaren,2,1,2,MEDIUM,83.232,5,38.4,20.6,108.2,48,3.033
2024,Australian Grand Prix,PIA,McLaren,3,1,3,MEDIUM,82.669,5,38.4,20.6,106.4,49,2.47
2024,Australian Grand Prix,PIA,McLaren,4,1,4,MEDIUM,82.581,4,38.4,20.6,104.6,50,2.38200000000001
2024,Australian Grand Prix,PIA,McLaren,5,1,5,MEDIUM,82.594,4,38.4,20.6,102.8,51,2.395
2024,Australian Grand Prix,PIA,McLaren,6,1,6,MEDIUM,82.582,4,38.4,20.6,101,52,2.383
2024,Australian Grand Prix,PIA,McLaren,7,1,7,MEDIUM,82.877,4,38.4,20.6,99.2,53,2.678
2024,Australian Grand Prix,PIA,McLaren,12,2,4,HARD,82.948,6,38.4,20.6,90.2,54,2.749
2024,Australian Grand Prix,PIA,McLaren,13,2,5,HARD,82.426,6,38.4,20.6,88.4,55,2.227
2024,Australian Grand Prix,PIA,McLaren,14,2,6,HARD,81.968,5,38.4,20.6,86.6,56,1.76900000000001
2024,Australian Grand Prix,PIA,McLaren,15,2,7,HARD,81.961,4,38.4,20.6,84.8,57,1.762
2024,Australian Grand Prix,PIA,McLaren,16,2,8,HARD,82.015,4,38.4,20.6,83,58,1.816
2024,Australian Grand Prix,PIA,McLaren,19,2,11,HARD,81.871,3,38.4,20.6,77.6,59,1.672
2024,Australian Grand Prix,PIA,McLaren,20,2,12,HARD,82.085,3,38.4,20.6,75.8,60,1.886
2024,Australian Grand Prix,PIA,McLaren,21,2,13,HARD,81.923,3,38.4,20.6,74,61,1.724
2024,Australian Grand Prix,PIA,McLaren,22,2,14,HARD,82.013,3,38.4,20.6,72.2,62,1.81400000000001
2024,Australian Grand Prix,PIA,McLaren,23,2,15,HARD,81.817,3,38.4,20.6,70.4,63,1.61799999999999
2024,Australian Grand Prix,PIA,McLaren,24,2,16,HARD,81.83,3,38.4,20.6,68.6,64,1.631
2024,Australian Grand Prix,PIA,McLaren,25,2,17,HARD,81.597,3,38.4,20.6,66.8,65,1.398
2024,Australian Grand Prix,PIA,McLaren,26,2,18,HARD,82.243,3,38.4,20.6,65,66,2.044
2024,Australian Grand Prix,PIA,McLaren,27,2,19,HARD,82.287,3,38.4,20.6,63.2,67,2.08800000000001
2024,Australian Grand Prix,PIA,McLaren,28,2,20,HARD,82.204,3,38.4,20.6,61.4,68,2.005
2024,Australian Grand Prix,PIA,McLaren,29,2,21,HARD,83.479,4,38.4,20.6,59.6,69,3.28
2024,Australian Grand Prix,PIA,McLaren,30,2,22,HARD,82.52,4,38.4,20.6,57.8,70,2.321
2024,Australian Grand Prix,PIA,McLaren,31,2,23,HARD,82.133,4,38.4,20.6,56,71,1.934
2024,Australian Grand Prix,PIA,McLaren,32,2,24,HARD,81.989,4,38.4,20.6,54.2,72,1.79000000000001
2024,Australian Grand Prix,PIA,McLaren,33,2,25,HARD,82.1,4,38.4,20.6,52.4,73,1.901
2024,Australian Grand Prix,PIA,McLaren,34,2,26,HARD,82.238,3,38.4,20.6,50.6,74,2.039
2024,Australian Grand Prix,PIA,McLaren,35,2,27,HARD,82.059,3,38.4,20.6,48.8,75,1.86
2024,Australian Grand Prix,PIA,McLaren,36,2,28,HARD,82.047,3,38.4,20.6,47,76,1.848
2024,Australian Grand Prix,PIA,McLaren,37,2,29,HARD,81.89,3,38.4,20.6,45.2,77,1.691
2024,Australian Grand Prix,PIA,McLaren,42,3,4,HARD,81.08,4,38.4,20.6,36.2,78,0.881
2024,Australian Grand Prix,PIA,McLaren,43,3,5,HARD,80.485,4,38.4,20.6,34.4,79,0.286000000000001
2024,Australian Grand Prix,PIA,McLaren,44,3,6,HARD,80.395,4,38.4,20.6,32.6,80,0.195999999999998
2024,Australian Grand Prix,PIA,McLaren,45,3,7,HARD,80.223,4,38.4,20.6,30.8,81,0.0240000000000009
2024,Australian Grand Prix,PIA,McLaren,46,3,8,HARD,80.615,4,38.4,20.6,29,82,0.415999999999997
2024,Australian Grand Prix,PIA,McLaren,47,3,9,HARD,80.682,4,38.4,20.6,27.2,83,0.483000000000004
2024,Australian Grand Prix,PIA,McLaren,48,3,10,HARD,80.588,4,38.4,20.6,25.4,84,0.388999999999996
2024,Australian Grand Prix,PIA,McLaren,49,3,11,HARD,80.352,4,38.4,20.6,23.6,85,0.153000000000006
2024,Australian Grand Prix,PIA,McLaren,50,3,12,HARD,80.496,4,38.4,20.6,21.8,86,0.296999999999997
2024,Australian Grand Prix,PIA,McLaren,51,3,13,HARD,80.718,4,38.4,20.6,20,87,0.519000000000005
