Year,Event,Driver,Team,LapNumber,Stint,TyreLife,Compound,LapTime,Position,TrackTemp,AirTemp,FuelEstimate,RowID,NormalizedLap,LapInStint,BestLap,DeltaBestLap,FuelNorm
2024,Abu Dhabi Grand Prix,PIA,McLaren,6,2,2,HARD,88.95,18,31.8,26.8,101,1,1.26000000000001,1,88.95,0,0.933456561922366
2024,Abu Dhabi Grand Prix,PIA,McLaren,7,2,3,HARD,89.152,17,31.8,26.8,99.2,2,1.462,2,88.95,0.201999999999998,0.916820702402958
2024,Abu Dhabi Grand Prix,PIA,McLaren,8,2,4,HARD,89.482,17,31.8,26.8,97.4,3,1.792,3,88.95,0.531999999999996,0.900184842883549
2024,Abu Dhabi Grand Prix,PIA,McLaren,9,2,5,HARD,89.553,17,31.8,26.8,95.6,4,1.863,4,88.95,0.602999999999994,0.88354898336414
2024,Abu Dhabi Grand Prix,PIA,McLaren,10,2,6,HARD,89.669,17,31.8,26.8,93.8,5,1.979,5,88.95,0.718999999999994,0.866913123844732
2024,Abu Dhabi Grand Prix,PIA,McLaren,11,2,7,HARD,89.317,17,31.8,26.8,92,6,1.627,6,88.95,0.36699999999999,0.850277264325323
2024,Abu Dhabi Grand Prix,PIA,McLaren,12,2,8,HARD,89.841,17,31.8,26.8,90.2,7,2.151,7,88.95,0.890999999999991,0.833641404805915
2024,Abu Dhabi Grand Prix,PIA,McLaren,13,2,9,HARD,89.567,14,31.8,26.8,88.4,8,1.877,8,88.95,0.61699999999999,0.817005545286506
2024,Abu Dhabi Grand Prix,PIA,McLaren,14,2,10,HARD,89.319,13,31.8,26.8,86.6,9,1.629,9,88.95,0.369,0.800369685767098
2024,Abu Dhabi Grand Prix,PIA,McLaren,15,2,11,HARD,89.895,13,31.8,26.8,84.8,10,2.205,10,88.95,0.944999999999993,0.783733826247689
2024,Abu Dhabi Grand Prix,PIA,McLaren,16,2,12,HARD,89.904,13,31.8,26.8,83,11,2.214,11,88.95,0.953999999999994,0.767097966728281
2024,Abu Dhabi Grand Prix,PIA,McLaren,17,2,13,HARD,89.659,13,31.8,26.8,81.2,12,1.96900000000001,12,88.95,0.709000000000003,0.750462107208873
2024,Abu Dhabi Grand Prix,PIA,McLaren,18,2,14,HARD,89.607,13,31.8,26.8,79.4,13,1.917,13,88.95,0.656999999999996,0.733826247689464
2024,Abu Dhabi Grand Prix,PIA,McLaren,19,2,15,HARD,90.058,13,31.8,26.8,77.6,14,2.36800000000001,14,88.95,1.108,0.717190388170055
