Year,Event,Driver,Team,LapNumber,Stint,TyreLife,Compound,LapTime,Position,TrackTemp,AirTemp,FuelEstimate
2024,Bahrain Grand Prix,VER,Red Bull Racing,2,1,5,SOFT,96.296,1,23.7,18.2,108.2
2024,Bahrain Grand Prix,VER,Red Bull Racing,3,1,6,SOFT,96.753,1,23.7,18.2,106.4
2024,Bahrain Grand Prix,VER,Red Bull Racing,4,1,7,SOFT,96.647,1,23.7,18.2,104.6
2024,Bahrain Grand Prix,VER,Red Bull Racing,5,1,8,SOFT,97.173,1,23.7,18.2,102.8
2024,Bahrain Grand Prix,VER,Red Bull Racing,6,1,9,SOFT,97.092,1,23.7,18.2,101
2024,Bahrain Grand Prix,VER,Red Bull Racing,7,1,10,SOFT,97.038,1,23.7,18.2,99.2
2024,Bahrain Grand Prix,VER,Red Bull Racing,8,1,11,SOFT,97.024,1,23.7,18.2,97.4
2024,Bahrain Grand Prix,VER,Red Bull Racing,9,1,12,SOFT,97.229,1,23.7,18.2,95.6
2024,Bahrain Grand Prix,VER,Red Bull Racing,12,1,15,SOFT,97.045,1,23.7,18.2,90.2
2024,Bahrain Grand Prix,VER,Red Bull Racing,13,1,16,SOFT,97.03,1,23.7,18.2,88.4
2024,Bahrain Grand Prix,VER,Red Bull Racing,14,1,17,SOFT,97.028,1,23.7,18.2,86.6
2024,Bahrain Grand Prix,VER,Red Bull Racing,15,1,18,SOFT,97.011,1,23.7,18.2,84.8
2024,Bahrain Grand Prix,VER,Red Bull Racing,16,1,19,SOFT,97.168,1,23.7,18.2,83
2024,Bahrain Grand Prix,VER,Red Bull Racing,19,2,2,HARD,95.283,1,23.7,18.2,77.6
2024,Bahrain Grand Prix,VER,Red Bull Racing,20,2,3,HARD,95.16,1,23.7,18.2,75.8
2024,Bahrain Grand Prix,VER,Red Bull Racing,21,2,4,HARD,95.316,1,23.7,18.2,74
2024,Bahrain Grand Prix,VER,Red Bull Racing,22,2,5,HARD,95.204,1,23.7,18.2,72.2
2024,Bahrain Grand Prix,VER,Red Bull Racing,23,2,6,HARD,95.216,1,23.7,18.2,70.4
2024,Bahrain Grand Prix,VER,Red Bull Racing,24,2,7,HARD,95.289,1,23.7,18.2,68.6
2024,Bahrain Grand Prix,VER,Red Bull Racing,25,2,8,HARD,95.342,1,23.7,18.2,66.8
2024,Bahrain Grand Prix,VER,Red Bull Racing,26,2,9,HARD,95.223,1,23.7,18.2,65
2024,Bahrain Grand Prix,VER,Red Bull Racing,27,2,10,HARD,95.581,1,23.7,18.2,63.2
2024,Bahrain Grand Prix,VER,Red Bull Racing,28,2,11,HARD,95.477,1,23.7,18.2,61.4
2024,Bahrain Grand Prix,VER,Red Bull Racing,29,2,12,HARD,95.793,1,23.7,18.2,59.6
2024,Bahrain Grand Prix,VER,Red Bull Racing,30,2,13,HARD,95.771,1,23.7,18.2,57.8
2024,Bahrain Grand Prix,VER,Red Bull Racing,31,2,14,HARD,95.679,1,23.7,18.2,56
2024,Bahrain Grand Prix,VER,Red Bull Racing,32,2,15,HARD,95.886,1,23.7,18.2,54.2
2024,Bahrain Grand Prix,VER,Red Bull Racing,33,2,16,HARD,95.863,1,23.7,18.2,52.4
2024,Bahrain Grand Prix,VER,Red Bull Racing,34,2,17,HARD,96.133,1,23.7,18.2,50.6
2024,Bahrain Grand Prix,VER,Red Bull Racing,35,2,18,HARD,96.018,1,23.7,18.2,48.8
2024,Bahrain Grand Prix,VER,Red Bull Racing,36,2,19,HARD,96.205,1,23.7,18.2,47
2024,Bahrain Grand Prix,VER,Red Bull Racing,39,3,2,SOFT,92.608,1,23.7,18.2,41.6
2024,Bahrain Grand Prix,VER,Red Bull Racing,40,3,3,SOFT,96.589,1,23.7,18.2,39.8
2024,Bahrain Grand Prix,VER,Red Bull Racing,41,3,4,SOFT,95.29,1,23.7,18.2,38
2024,Bahrain Grand Prix,VER,Red Bull Racing,42,3,5,SOFT,94.667,1,23.7,18.2,36.2
2024,Bahrain Grand Prix,VER,Red Bull Racing,43,3,6,SOFT,94.151,1,23.7,18.2,34.4
2024,Bahrain Grand Prix,VER,Red Bull Racing,44,3,7,SOFT,94.531,1,23.7,18.2,32.6
2024,Bahrain Grand Prix,VER,Red Bull Racing,45,3,8,SOFT,94.249,1,23.7,18.2,30.8
2024,Bahrain Grand Prix,VER,Red Bull Racing,46,3,9,SOFT,94.193,1,23.7,18.2,29
2024,Bahrain Grand Prix,VER,Red Bull Racing,47,3,10,SOFT,94.239,1,23.7,18.2,27.2
2024,Bahrain Grand Prix,VER,Red Bull Racing,48,3,11,SOFT,94.35,1,23.7,18.2,25.4
2024,Bahrain Grand Prix,VER,Red Bull Racing,49,3,12,SOFT,94.403,1,23.7,18.2,23.6
2024,Bahrain Grand Prix,VER,Red Bull Racing,50,3,13,SOFT,94.783,1,23.7,18.2,21.8
2024,Bahrain Grand Prix,VER,Red Bull Racing,51,3,14,SOFT,94.34,1,23.7,18.2,20
2024,Bahrain Grand Prix,VER,Red Bull Racing,52,3,15,SOFT,94.906,1,23.7,18.2,18.2
2024,Bahrain Grand Prix,VER,Red Bull Racing,53,3,16,SOFT,95.6,1,23.7,18.2,16.4
2024,Bahrain Grand Prix,VER,Red Bull Racing,54,3,17,SOFT,95.334,1,23.7,18.2,14.6
2024,Bahrain Grand Prix,VER,Red Bull Racing,55,3,18,SOFT,95.184,1,23.7,18.2,12.8
2024,Bahrain Grand Prix,VER,Red Bull Racing,56,3,19,SOFT,94.671,1,23.7,18.2,11
2024,Bahrain Grand Prix,VER,Red Bull Racing,57,3,20,SOFT,94.923,1,23.7,18.2,9.2
2024,Bahrain Grand Prix,PER,Red Bull Racing,2,1,5,SOFT,96.541,4,23.7,18.2,108.2
2024,Bahrain Grand Prix,PER,Red Bull Racing,3,1,6,SOFT,97.297,4,23.7,18.2,106.4
2024,Bahrain Grand Prix,PER,Red Bull Racing,4,1,7,SOFT,97.722,4,23.7,18.2,104.6
2024,Bahrain Grand Prix,PER,Red Bull Racing,5,1,8,SOFT,98.044,4,23.7,18.2,102.8
2024,Bahrain Grand Prix,PER,Red Bull Racing,6,1,9,SOFT,97.823,4,23.7,18.2,101
2024,Bahrain Grand Prix,PER,Red Bull Racing,7,1,10,SOFT,97.821,3,23.7,18.2,99.2
2024,Bahrain Grand Prix,PER,Red Bull Racing,8,1,11,SOFT,97.838,3,23.7,18.2,97.4
2024,Bahrain Grand Prix,PER,Red Bull Racing,9,1,12,SOFT,97.596,3,23.7,18.2,95.6
2024,Bahrain Grand Prix,PER,Red Bull Racing,11,1,14,SOFT,97.836,2,23.7,18.2,92
2024,Bahrain Grand Prix,PER,Red Bull Racing,14,2,2,HARD,95.606,6,23.7,18.2,86.6
2024,Bahrain Grand Prix,PER,Red Bull Racing,15,2,3,HARD,96.815,3,23.7,18.2,84.8
2024,Bahrain Grand Prix,PER,Red Bull Racing,16,2,4,HARD,95.783,2,23.7,18.2,83
2024,Bahrain Grand Prix,PER,Red Bull Racing,17,2,5,HARD,96.454,2,23.7,18.2,81.2
2024,Bahrain Grand Prix,PER,Red Bull Racing,18,2,6,HARD,96.311,2,23.7,18.2,79.4
